,pair1_path,pair2_path,result
3897,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Yasar_Yakis_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Yasar_Yakis_0004.jpg,1
5628,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Michelle_Rodriguez_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Michelle_Rodriguez_0002.jpg,1
1756,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Marion_Fahnestock_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Wen_Jiabao_0003.jpg,0
2346,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Laura_Schlessinger_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Tony_Curtis_0001.jpg,0
2996,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Steve_Nesbitt_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Win_Aung_0004.jpg,0
1595,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Chung_Mong-joon_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/David_Modell_0001.jpg,0
5966,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Mike_Martz_0005.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/William_Burns_0001.jpg,0
3252,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ronaldo_Luis_Nazario_de_Lima_0003.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ronaldo_Luis_Nazario_de_Lima_0004.jpg,1
829,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Robin_McLaurin_Williams_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Robin_McLaurin_Williams_0002.jpg,1
5864,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Greg_Rusedski_0003.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Javier_Bardem_0001.jpg,0
1858,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Colin_Powell_0049.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Colin_Powell_0234.jpg,1
438,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Einars_Repse_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Minnie_Mendoza_0001.jpg,0
627,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anna_Kournikova_0003.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Anna_Kournikova_0008.jpg,1
5978,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Orlando_Bloom_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Ray_Liotta_0001.jpg,0
2879,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Guillaume_Depardieu_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Manuel_Llorente_0001.jpg,0
925,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Arnold_Palmer_0001.jpg,/Users/ryanlee/Desktop/FriendFinder.AI/images/train/Stephanie_Zimbalist_0001.jpg,0
